feature,importance
OAS1,8.911813311717973e-20
AKT2,8.850210915554023e-20
IGHG4,8.809142651444724e-20
JUN,8.783474986376412e-20
IL7R,8.69620492514415e-20
PPARGC1A,8.6756707930895e-20
FBXW4,8.655136661034851e-20
FASLG,8.501130670624978e-20
STAT3,8.39846001035173e-20
MX2,8.347124680215105e-20
GREM2,8.316323482133131e-20
IGHG3,8.213652821859882e-20
CD48,8.207235905592804e-20
TTK,8.141783359668608e-20
DIABLO,8.126382760627621e-20
RSAD2,8.105848628572972e-20
BMP8A/B,8.100715095559309e-20
TRBC1/2,8.028845633368034e-20
IRF4,8.028845633368034e-20
IL10RB,7.99804443528606e-20
IL15,7.946709105149435e-20
PPP2R5C,7.926174973094786e-20
BAK1,7.885106708985487e-20
ORC2,7.874839642958162e-20
PPP2R5E,7.854305510903513e-20
KIR2DL1/2,7.802970180766888e-20
OAS2,7.802970180766888e-20
KLF2,7.777302515698575e-20
ADORA2A,7.761901916657589e-20
CD163,7.638697124329691e-20
TRGC2,7.638697124329691e-20
DHRS3,7.587361794193066e-20
CD79B,7.577094728165741e-20
PTGS2,7.556560596111092e-20
TOX2,7.494958199947142e-20
ANAPC4,7.453889935837843e-20
EGF,7.408971521968297e-20
STAG2,7.397421072687556e-20
GYS2,7.330685143509945e-20
CD8A,7.299883945427971e-20
RGS16,7.297317178921139e-20
LILRB2,7.248548615291346e-20
ITGAL,7.207480351182047e-20
HRAS,7.176679153100073e-20
IL11RA,7.13047735597711e-20
ALDH1A1,7.120210289949785e-20
CD14,7.043207294744849e-20
SMAD3,6.920002502416951e-20
MRAS,6.899468370362301e-20
PIAS2,6.880217621561067e-20
IGHM,6.853266573239339e-20
HADHB,6.796797710089053e-20
ACSL6,6.783963877554897e-20
CD8B,6.776263578034403e-20
MALT1,6.735195313925103e-20
IRS1,6.714661181870453e-20
GRAP2,6.709527648856792e-20
SOCS2,6.694127049815804e-20
MAPK1,6.694127049815804e-20
RELA,6.673592917761154e-20
CTBP2,6.668459384747492e-20
MBD3,6.653058785706505e-20
MAML3,6.632524653651854e-20
OAT,6.588889623035724e-20
IGHD,6.550388125433256e-20
VAV2,6.550388125433256e-20
SEMA4D,6.499052795296632e-20
TGFB2,6.365580936941409e-20
TMED2,6.365580936941409e-20
SIGLEC6,6.355313870914084e-20
TNFRSF10A,6.22184201255886e-20
CAMK2D,6.201307880504211e-20
CYP26A1,6.180773748449561e-20
ITGA6,6.160239616394912e-20
FOS,6.142272250847093e-20
CRTAM,6.142272250847093e-20
ITGAE,6.124304885299274e-20
TRIM2,6.108904286258288e-20
CUL1,6.047301890094338e-20
IL12RB1,6.037034824067013e-20
PNOC,6.033826365933474e-20
RRAGC,6.026767758039689e-20
CIITA,6.006233625985039e-20
RARA,6.001100092971376e-20
PRF1,5.975432427903064e-20
PIK3R2,5.936930930300596e-20
MCM5,5.918963564752777e-20
UBE2I,5.903562965711791e-20
ICOS,5.903562965711791e-20
SESN1,5.893295899684466e-20
LAMP1,5.877895300643478e-20
SYK,5.877895300643478e-20
CD27,5.811159371465867e-20
CD28,5.806025838452204e-20
PBX1,5.800892305438542e-20
PDGFRB,5.790625239411217e-20
OSM,5.770091107356567e-20
IFIT3,5.770091107356567e-20
IGHA1,5.770091107356567e-20
NFKBIA,5.764957574342905e-20
HLA-DQB2,5.734156376260931e-20
CCL4/L1,5.708488711192618e-20
NPRL3,5.698221645165293e-20
PPT1,5.693088112151631e-20
FZD7,5.6905213456448e-20
B4GALT1,5.685387812631137e-20
TGFB1,5.667420447083318e-20
ITGB8,5.646886315028669e-20
CREB3L2,5.62891894948085e-20
BTLA,5.569883319823732e-20
CRLF2,5.523681522700771e-20
CCR1,5.513414456673446e-20
TLE4,5.503147390646121e-20
